Temps;EA4;Temps;theta;Temps;thetadeg
0;0.19881138659548;0;-0.0198805087802017;0;-1.13906924767833
3;0.186199652031064;3;-0.0165732522980152;3;-0.949577409481763
6;0.192253284621984;6;-0.0181607354094647;6;-1.04053349181612
9;0.21243205992505;9;-0.0234523457809631;9;-1.34372043293063
12;0.215963345603086;12;-0.0243783775959753;12;-1.39677814762567
15;0.223530386341736;15;-0.0263627314852872;15;-1.51047325054361
18;0.263887936947867;18;-0.036945952228284;18;-2.11684713277263
21;0.266914753243327;21;-0.0377396937840087;21;-2.16232517393981
24;0.247744916705415;24;-0.0327126639310853;24;-1.87429757988102
27;0.303236548788846;27;-0.0472645924527058;27;-2.70806166794593
0.03;0.294660569285043;0.03;-0.045015658044819;0.03;-2.57920721797226
33;0.261870059417561;33;-0.0364167911911341;33;-2.08652843866118
36;0.280535426572897;36;-0.0413115307847701;36;-2.3669763591921
39;0.334513650508598;39;-0.0554665885285283;39;-3.17800142667342
42;0.306263365084305;42;-0.0480583340084306;42;-2.7535397091131
45;0.312316997675225;45;-0.0496458171198801;45;-2.84449579144746
48;0.3430896300124;48;-0.0577155229364151;48;-3.30685587664708
51;0.320388507796451;51;-0.0517624612684794;51;-2.96577056789326
54;0.34611644630786;54;-0.0585092644921399;54;-3.35233391781426
57;0.391518690739758;57;-0.0704153878280112;57;-4.03450453532191
0.06;0.343594099394977;0.06;-0.0578478131957026;0.06;-3.31443555017495
63;0.377898017410189;63;-0.0668435508272498;63;-3.82985335006962
66;0.374366731732152;66;-0.0659175190122376;66;-3.77679563537458
69;0.410184057895094;69;-0.0753101274216472;69;-4.31495245585283
72;0.387987405061722;72;-0.069489356012999;72;-3.98144682062687
75;0.398581262095831;75;-0.0722674514580356;75;-4.14061996471199
78;0.386978466296569;78;-0.0692247754944241;78;-3.96628747357115
81;0.404130425304174;81;-0.0737226443101977;81;-4.22399637351848
84;0.42884942505043;84;-0.0802048670152832;84;-4.59540037638376
87;0.404130425304174;87;-0.0737226443101977;87;-4.22399637351848
0.09;0.408670649747364;0.09;-0.0749132566437848;0.09;-4.29221343526925
93;0.451046077883802;93;-0.0860256384239314;93;-4.92890601160972
96;0.446001384058036;96;-0.0847027358310568;96;-4.85310927633109
99;0.477782955160364;99;-0.0930370221661668;99;-5.33062870858644
102;0.481314240838401;102;-0.093963053981179;102;-5.38368642328148
105;0.487872342811897;105;-0.095682827351916;105;-5.4822221791437
108;0.495943852933124;108;-0.0977994715005153;108;-5.6034969555895
111;0.524194138357416;111;-0.105207726020613;111;-6.02795867314982
114;0.50855558749754;114;-0.101106727982702;114;-5.79298879378607
117;0.50401536305435;117;-0.0999161156491147;117;-5.72477173203531
0.12;0.516627097618766;0.12;-0.103223372131301;0.12;-5.91426357023188
123;0.526716485270299;123;-0.10586917731705;123;-6.06585704078913
126;0.540337158599868;126;-0.109441014317812;126;-6.27050822604143
129;0.556480178842321;129;-0.11367430261501;129;-6.51305777893304
132;0.546895260573365;132;-0.111160787688549;132;-6.36904398190365
135;0.554966770694591;135;-0.113277431837148;135;-6.49031875834945
138;0.584730464266613;138;-0.121082557135108;138;-6.93751949649335
141;0.605918178334832;141;-0.126638748025181;141;-7.25586578466359
144;0.578172362293117;144;-0.119362783764371;144;-6.83898374063114
147;0.598855606978759;147;-0.124786684395157;147;-7.14975035527351
0.15;0.568587444024161;0.15;-0.11684926883791;0.15;-6.69496994360174
153;0.593810913152993;153;-0.123463781802282;153;-7.07395361999488
156;0.601377953891642;156;-0.125448135691594;156;-7.18764872291282
159;0.612980749690905;159;-0.128490811655206;159;-7.36198121405367
162;0.629123769933358;162;-0.132724099952405;162;-7.60453076694528
165;0.618025443516672;165;-0.129813714248081;165;-7.4377779493323
168;0.624583545490168;168;-0.131533487618818;168;-7.53631370519451
171;0.630132708698511;171;-0.13298868047098;171;-7.619690114001
174;0.640222096350044;174;-0.135634485656729;174;-7.77128358455826
177;0.686633279547095;177;-0.147805189511175;177;-8.46861354912163
0.18;0.645771259558387;0.18;-0.137089678508891;0.18;-7.85465999336475
183;0.65434723906219;183;-0.139338612916778;183;-7.98351444333842
186;0.664436626713723;186;-0.141984418102527;186;-8.13510791389567
189;0.667967912391759;189;-0.142910449917539;189;-8.18816562859071
192;0.678057300043292;192;-0.145556255103288;192;-8.33975909914797
195;0.681588585721329;195;-0.1464822869183;195;-8.392816813843
198;0.656869585975073;198;-0.140000064213215;198;-8.02141281097773
201;0.658382994122803;201;-0.140396934991077;201;-8.04415183156132
204;0.691677973372862;204;-0.14912809210405;204;-8.54441028440026
207;0.700253952876665;207;-0.151377026511936;207;-8.67326473437393
0.21;0.713874626206234;0.21;-0.154948863512698;0.21;-8.87791591962622
213;0.700253952876665;213;-0.151377026511936;213;-8.67326473437393
216;0.703280769172125;216;-0.152170768067661;216;-8.7187427755411
219;0.687137748929672;219;-0.147937479770462;219;-8.4761932226495
222;0.706812054850161;222;-0.153096799882673;222;-8.77180049023614
225;0.721441666944884;225;-0.15693321740201;225;-8.99161102254416
228;0.699245014111511;228;-0.151112445993362;228;-8.6581053873182
231;0.718414850649424;231;-0.156139475846285;231;-8.94613298137699
234;0.727495299535804;234;-0.158520700513459;234;-9.08256710487852
237;0.752718768664636;237;-0.165135213477832;237;-9.46155078127165
0.24;0.746160666691139;0.24;-0.163415440107095;0.24;-9.36301502540944
243;0.74162044224795;243;-0.162224827773508;243;-9.29479796365867
246;0.741115972865373;246;-0.162092537514221;246;-9.28721829013081
249;0.722955075092614;249;-0.157330088179872;249;-9.01435004312775
252;0.762303686933592;252;-0.167648728404294;252;-9.60556457830105
255;0.747674074838869;255;-0.163812310884958;255;-9.38575404599303
258;0.735062340274453;258;-0.160505054402771;258;-9.19626220779646
261;0.785004809149541;261;-0.17360179007223;261;-9.94664988705487
264;0.760790278785862;264;-0.167251857626432;264;-9.58282555771746
267;0.753223238047212;267;-0.16526750373712;267;-9.46913045479952
0.27;0.756754523725249;0.27;-0.166193535552132;0.27;-9.52218816949455
273;0.755241115577519;273;-0.16579666477427;273;-9.49944914891097
276;0.763312625698745;276;-0.167913308922869;276;-9.62072392535677
279;0.79862548247911;279;-0.177173627072991;279;-10.1513010723072
282;0.8031657069223;282;-0.178364239406578;282;-10.2195181340579
285;0.762808156316169;285;-0.167781018663581;285;-9.61314425182891
288;0.771888605202548;288;-0.170162243330756;288;-9.74957837533044
291;0.781977992854081;291;-0.172808048516505;291;-9.9011718458877
294;0.760790278785862;294;-0.167251857626432;294;-9.58282555771746
297;0.738089156569913;297;-0.161298795958496;297;-9.24174024896363
0.3;0.767852850141935;0.3;-0.169103921256456;0.3;-9.68894098710754
303;0.760285809403285;303;-0.167119567367144;303;-9.57524588418959
306;0.764321564463898;306;-0.168177889441444;306;-9.6358832724125
309;0.777942237793468;309;-0.171749726442205;309;-9.84053445766479
312;0.765834972611628;312;-0.168574760219306;312;-9.65862229299609
315;0.769870727672242;315;-0.169633082293606;315;-9.71925968121899
318;0.782482462236658;318;-0.172940338775792;318;-9.90875151941556
321;0.80165229877457;321;-0.177967368628716;321;-10.1967791134743
324;0.761294748168439;324;-0.167384147885719;324;-9.59040523124532
327;0.759276870638132;327;-0.166854986848569;327;-9.56008653713387
0.33;0.739602564717643;0.33;-0.161695666736358;0.33;-9.26447926954722
333;0.756250054342672;333;-0.166061245292844;333;-9.51460849596669
336;0.755745584960096;336;-0.165928955033557;336;-9.50702882243883
339;0.793076319270767;339;-0.175718434220829;339;-10.0679246635007
342;0.753727707429789;342;-0.165399793996407;342;-9.47671012832738
345;0.755241115577519;345;-0.16579666477427;345;-9.49944914891097
348;0.729008707683533;348;-0.158917571291322;348;-9.10530612546211
351;0.718919320032001;351;-0.156271766105572;351;-8.95371265490485
354;0.743133850395679;354;-0.16262169855137;354;-9.31753698424226
357;0.72345954447519;357;-0.15746237843916;357;-9.02192971665561
0.36;0.767852850141935;0.36;-0.169103921256456;0.36;-9.68894098710754
363;0.738089156569913;363;-0.161298795958496;363;-9.24174024896363
366;0.734557870891876;366;-0.160372764143484;366;-9.1886825342686
369;0.743638319778256;369;-0.162753988810658;369;-9.32511665777013
372;0.727495299535804;372;-0.158520700513459;372;-9.08256710487852
375;0.730522115831263;375;-0.159314442069184;375;-9.12804514604569
378;0.754736646194942;378;-0.165664374514982;378;-9.49186947538311
381;0.73102658521384;381;-0.159446732328471;381;-9.13562481957356
384;0.72043272817973;384;-0.156668636883435;384;-8.97645167548844
387;0.718414850649424;387;-0.156139475846285;387;-8.94613298137699
0.39;0.73708021780476;0.39;-0.161034215439921;0.39;-9.22658090190791
393;0.701767361024395;393;-0.151773897289799;393;-8.69600375495751
396;0.704794177319854;396;-0.152567638845524;396;-8.74148179612469
399;0.722450605710037;399;-0.157197797920585;399;-9.00677036959989
402;0.689660095842555;402;-0.1485989310669;402;-8.51409159028881
405;0.688651157077402;405;-0.148334350548325;405;-8.49893224323308
408;0.696218197816052;408;-0.150318704437637;408;-8.61262734615102
411;0.670994728687219;411;-0.143704191473264;411;-8.23364366975789
414;0.676543891895562;414;-0.145159384325426;414;-8.31702007856438
417;0.679066238808446;417;-0.145820835621863;417;-8.35491844620369
0.42;0.652329361531884;0.42;-0.138809451879628;0.42;-7.95319574922696
423;0.66191427980084;423;-0.14132296680609;423;-8.09720954625636
426;0.656365116592497;426;-0.139867773953927;426;-8.01383313744987
429;0.66645450424403;429;-0.142513579139677;429;-8.16542660800712
432;0.643248912645504;432;-0.136428227212454;432;-7.81676162572543
435;0.641735504497774;435;-0.136031356434591;435;-7.79402260514185
438;0.632655055611394;438;-0.133650131767417;438;-7.65758848164032
441;0.628619300550781;441;-0.132591809693117;441;-7.59695109341741
444;0.627610361785628;444;-0.132327229174542;444;-7.58179174636169
447;0.615503096603788;447;-0.129152262951643;447;-7.39987958169298
0.45;0.600369015126489;0.45;-0.125183555173019;0.45;-7.1724893758571
453;0.611467341543175;453;-0.128093940877344;453;-7.33924219347008
456;0.601882423274219;456;-0.125580425950882;456;-7.19522839644069
459;0.599864545743912;459;-0.125051264913732;459;-7.16490970232923
462;0.597342198831029;462;-0.124389813617295;462;-7.12701133468992
465;0.58220811735373;465;-0.120421105838671;465;-6.89962112885404
468;0.607936055865139;468;-0.127167909062331;468;-7.28618447877504
471;0.58220811735373;471;-0.120421105838671;471;-6.89962112885404
474;0.554462301312014;474;-0.113145141577861;474;-6.48273908482159
477;0.595324321300723;477;-0.123860652580145;477;-7.09669264057847
0.48;0.533779056626372;0.48;-0.107721240947075;0.48;-6.17197247017921
483;0.537310342304409;483;-0.108647272762087;483;-6.22503018487425
486;0.526716485270299;486;-0.10586917731705;486;-6.06585704078913
489;0.527725424035452;489;-0.106133757835625;489;-6.08101638784486
492;0.521167322061956;492;-0.104413984464888;492;-5.98248063198264
495;0.517131567001343;495;-0.103355662390589;495;-5.92184324375974
498;0.479296363308094;498;-0.0934338929440292;498;-5.35336772917003
501;0.478287424542941;501;-0.0931693124254542;501;-5.33820838211431
504;0.483332118368708;504;-0.0944922150183288;504;-5.41400511739294
507;0.488881281577051;507;-0.0959474078704909;507;-5.49738152619943
0.51;0.50704217934981;0.51;-0.100709857204839;0.51;-5.77024977320249
513;0.460630996152759;513;-0.0885391533503932;513;-5.07291980863911
516;0.457604179857299;516;-0.0877454117946684;516;-5.02744176747193
519;0.455586302326992;519;-0.0872162507575186;519;-4.99712307336048
522;0.443479037145153;522;-0.0840412845346195;522;-4.81521090869178
525;0.42279579245951;525;-0.0786173839038337;525;-4.5044442940494
528;0.422291323076934;528;-0.0784850936445462;528;-4.49686462052154
531;0.437425404554233;531;-0.08245380142317;531;-4.72425482635742
534;0.407661710982211;534;-0.0746486761252099;534;-4.27705408821352
537;0.403121486539021;537;-0.0734580637916228;537;-4.20883702646276
0.54;0.417751098633744;0.54;-0.0772944813109591;0.54;-4.42864755877078
543;0.381933772470802;543;-0.0679018729015495;543;-3.89049073829252
546;0.367808629758656;546;-0.0641977456415006;546;-3.67825987951236
549;0.379411425557919;549;-0.0672404216051122;549;-3.8525923706532
552;0.335018119891174;552;-0.0555988787878158;552;-3.18558110020128
555;0.341071752482094;555;-0.0571863618992653;555;-3.27653718253563
558;0.35368348704651;558;-0.0604936183814518;558;-3.4660290207322
561;0.325937671004795;561;-0.0532176541206415;561;-3.04914697669975
564;0.317361691500992;564;-0.0509687197127547;564;-2.92029252672608
567;0.308785711997189;567;-0.0487197853048679;567;-2.79143807675242
0.57;0.276499671512283;0.57;-0.0402532087104704;0.57;-2.3063389709692
573;0.296678446815349;573;-0.0455448190819688;573;-2.60952591208371
576;0.284066712250933;576;-0.0422375625997823;576;-2.42003407388714
579;0.307776773232035;579;-0.0484552047862929;579;-2.77627872969669
582;0.271959447069094;582;-0.0390625963768833;582;-2.23812190921843
585;0.261365590034984;585;-0.0362845009318467;585;-2.07894876513332
588;0.252285141148604;588;-0.0339032762646724;588;-1.94251464163179
591;0.203856080421247;591;-0.0212034113730763;591;-1.21486598295696
594;0.227566141402349;594;-0.0274210535595869;594;-1.57111063876651
597;0.230088488315232;597;-0.0280825048560242;597;-1.60900900640582
0.6;0.220503570046276;0.6;-0.0255689899295624;0.6;-1.46499520937643
603;0.20637842733413;603;-0.0218648626695136;603;-1.25276435059627
606;0.183677305118181;606;-0.0159118010015779;606;-0.91167904184245
609;0.174596856231801;609;-0.0135305763344036;609;-0.77524491834092
612;0.175605794996954;612;-0.0137951568529785;612;-0.790404265396645
615;0.165011937962845;615;-0.0110170614079419;615;-0.631231121311527
618;0.140292938216589;618;-0.00453483870285638;618;-0.259827118446251
621;0.141301876981743;621;-0.0047994192214313;621;-0.274986465501977
624;0.147355509572662;624;-0.00638690233288081;624;-0.36594254783633
627;0.149877856485546;627;-0.00704835362931811;627;-0.403840915475644
0.63;0.118096285383217;0.63;0.00128593270579184;0.63;0.0736785167797106
633;0.106493489583954;633;0.00432860866940341;633;0.248011007920554
636;0.0918638774892315;636;0.00816502618873974;636;0.467821540228575
639;0.119609693530947;639;0.000889061927929461;639;0.0509394961961223
642;0.0792521429248154;642;0.0114722826709262;642;0.657313378425144
645;0.0716851021861657;645;0.0134566365602381;645;0.771008481343086
648;0.0621001839172095;648;0.0159701514866998;648;0.915022278372478
651;0.0161934701027349;651;0.0280085650818587;651;1.60477256940799
654;0.0409124698489904;654;0.0215263423767731;654;1.23336856654271
657;0.00156385800801218;657;0.031844982601195;657;1.82458310171601
0.66;0.0363722454058006;0.66;0.0227169547103603;0.66;1.30158562829348
663;0.0207336945459247;663;0.0268179527482715;663;1.53655550765722
666;0.00812195998150855;666;0.030125209230458;666;1.72604734585379
669;-0.0332445293897763;669;0.0409730104920297;669;2.34758057513854
672;-0.0155881009995937;672;0.0363428514169686;672;2.08229200166334
675;-0.0206327948253602;675;0.0376657540098432;675;2.15808873694197
678;-0.0685573861701414;678;0.0502333286421519;678;2.87815772208894
681;-0.0604858760489151;681;0.0481166844935525;681;2.75688294564313
684;-0.0468652027193457;684;0.0445448474927911;684;2.55223176039084
687;-0.069061855552718;687;0.0503656189014393;687;2.8857373956168
0.69;-0.0736020799959078;0.69;0.0515562312350265;0.69;2.95395445736756
693;-0.0710797330830246;693;0.0508947799385891;693;2.91605608972825
696;-0.0821780594997108;696;0.0538051656429133;696;3.08280890734123
699;-0.0831869982648641;699;0.0540697461614882;699;3.09796825439696
702;-0.086213814560324;702;0.0548634877172129;702;3.14344629556413
705;-0.0766288962913677;705;0.0523499727907512;705;2.99943249853474
708;-0.115473038749769;708;0.0625363227558856;708;3.58306736018017
711;-0.144732262939215;711;0.0702091577945582;711;4.02268842479621
714;-0.119004324427806;714;0.0634623545708978;714;3.63612507487521
717;-0.135651814052835;717;0.067827933127384;717;3.88625430129468
0.72;-0.186603221693076;0.72;0.0811892493154174;0.72;4.65180132760882
723;-0.154821650590748;723;0.0728549629803074;723;4.17428189535347
726;-0.16945126268547;726;0.0766913804996438;726;4.39409242766149
729;-0.177522772806697;729;0.0788080246482431;729;4.51536720410729
732;-0.205773058230989;732;0.0862162791683409;732;4.93982892166761
735;-0.195683670579456;735;0.0835704739825917;735;4.78823545111035
738;-0.192152384901419;738;0.0826444421675794;738;4.73517773641531
741;-0.212331160204485;741;0.0879360525390778;741;5.03836467752983
744;-0.214349037734792;744;0.0884652135762276;744;5.06868337164128
747;-0.223933956003748;747;0.0909787285026894;747;5.21269716867067
0.75;-0.232509935507551;0.75;0.0932276629105762;0.75;5.34155161864434
753;-0.26277809846215;753;0.101165078467824;753;5.7963320303161
756;-0.254202118958347;756;0.098916144059937;756;5.66747758034244
759;-0.243608261924237;759;0.0961380486149003;759;5.50830443625732
762;-0.257733404636383;762;0.0998421758749492;762;5.72053529503748
765;-0.272867486113682;765;0.103810883653573;765;5.94792550087336
768;-0.263282567844726;768;0.101297368727111;768;5.80391170384397
771;-0.291028383886442;771;0.108573332987921;771;6.22079374787642
774;-0.293550730799325;774;0.109234784284359;774;6.25869211551573
777;-0.285479220678098;777;0.107118140135759;777;6.13741733906993
0.78;-0.327854648814537;0.78;0.118230521915906;0.78;6.7741099154104
783;-0.304649057216011;783;0.112145169988683;783;6.42544493312871
786;-0.320792077458464;786;0.116378458285882;786;6.66799448602032
789;-0.312720567337237;789;0.114261814137282;789;6.54671970957452
792;-0.32735017943196;792;0.118098231656619;792;6.76653024188254
795;-0.339961913996376;795;0.121405488138805;795;6.95602208007911
798;-0.358122811769135;798;0.126167937473154;798;7.22889032708217
801;-0.341475322144106;801;0.121802358916667;801;6.97876110066269
804;-0.357113873003982;804;0.125903356954579;804;7.21373098002644
807;-0.350051301647909;807;0.124051293324554;807;7.10761555063636
0.81;-0.341475322144106;0.81;0.121802358916667;0.81;6.97876110066269
813;-0.373761362629011;813;0.130268935511065;813;7.46386020644591
816;-0.375779240159318;816;0.130798096548215;816;7.49417890055736
819;-0.422190423356369;819;0.142968800402661;819;8.19150886512074
822;-0.389399913488887;822;0.134369933548976;822;7.69883008580966
825;-0.401507178670727;825;0.137544899771875;825;7.88074225047836
828;-0.394444607314654;828;0.135692836141851;828;7.77462682108829
831;-0.438333443598822;831;0.14720208869986;831;8.43405841801235
834;-0.415127852000296;834;0.141116736772637;834;8.08539343573066
837;-0.454476463841274;837;0.151435376997058;837;8.67660797090396
0.84;-0.404533994966187;0.84;0.1383386413276;0.84;7.92622029164554
843;-0.430766402860172;843;0.145217734810548;843;8.32036331509441
846;-0.430261933477595;846;0.14508544455126;846;8.31278364156654
849;-0.433793219155632;849;0.146011476366273;849;8.36584135626158
852;-0.449431770015508;852;0.150112474404184;852;8.60081123562533
855;-0.438837912981398;855;0.147334378959147;855;8.44163809154021
858;-0.461034565814771;858;0.153155150367795;858;8.77514372676617
861;-0.422694892738946;861;0.143101090661948;861;8.1990885386486
864;-0.460530096432194;864;0.153022860108508;864;8.76756405323831
867;-0.421685953973793;867;0.142836510143374;867;8.18392919159288
0.87;-0.469610545318574;0.87;0.155404084775682;0.87;8.90399817673984
873;-0.466079259640537;873;0.15447805296067;873;8.8509404620448
876;-0.461539035197347;876;0.153287440627083;876;8.78272340029404
879;-0.487771443091333;879;0.160166534110031;879;9.1768664237429
882;-0.461034565814771;882;0.153155150367795;882;8.77514372676617
