Temps;EA4;Temps;theta;Temps;thetadeg
0;0,19881138659548;0;-0,0198805087802017;0;-1,13906924767833
0,003;0,186199652031064;0,003;-0,0165732522980152;0,003;-0,949577409481763
0,006;0,192253284621984;0,006;-0,0181607354094647;0,006;-1,04053349181612
0,009;0,21243205992505;0,009;-0,0234523457809631;0,009;-1,34372043293063
0,012;0,215963345603086;0,012;-0,0243783775959753;0,012;-1,39677814762567
0,015;0,223530386341736;0,015;-0,0263627314852872;0,015;-1,51047325054361
0,018;0,263887936947867;0,018;-0,036945952228284;0,018;-2,11684713277263
0,021;0,266914753243327;0,021;-0,0377396937840087;0,021;-2,16232517393981
0,024;0,247744916705415;0,024;-0,0327126639310853;0,024;-1,87429757988102
0,027;0,303236548788846;0,027;-0,0472645924527058;0,027;-2,70806166794593
0,03;0,294660569285043;0,03;-0,045015658044819;0,03;-2,57920721797226
0,033;0,261870059417561;0,033;-0,0364167911911341;0,033;-2,08652843866118
0,036;0,280535426572897;0,036;-0,0413115307847701;0,036;-2,3669763591921
0,039;0,334513650508598;0,039;-0,0554665885285283;0,039;-3,17800142667342
0,042;0,306263365084305;0,042;-0,0480583340084306;0,042;-2,7535397091131
0,045;0,312316997675225;0,045;-0,0496458171198801;0,045;-2,84449579144746
0,048;0,3430896300124;0,048;-0,0577155229364151;0,048;-3,30685587664708
0,051;0,320388507796451;0,051;-0,0517624612684794;0,051;-2,96577056789326
0,054;0,34611644630786;0,054;-0,0585092644921399;0,054;-3,35233391781426
0,057;0,391518690739758;0,057;-0,0704153878280112;0,057;-4,03450453532191
0,06;0,343594099394977;0,06;-0,0578478131957026;0,06;-3,31443555017495
0,063;0,377898017410189;0,063;-0,0668435508272498;0,063;-3,82985335006962
0,066;0,374366731732152;0,066;-0,0659175190122376;0,066;-3,77679563537458
0,069;0,410184057895094;0,069;-0,0753101274216472;0,069;-4,31495245585283
0,072;0,387987405061722;0,072;-0,069489356012999;0,072;-3,98144682062687
0,075;0,398581262095831;0,075;-0,0722674514580356;0,075;-4,14061996471199
0,078;0,386978466296569;0,078;-0,0692247754944241;0,078;-3,96628747357115
0,081;0,404130425304174;0,081;-0,0737226443101977;0,081;-4,22399637351848
0,084;0,42884942505043;0,084;-0,0802048670152832;0,084;-4,59540037638376
0,087;0,404130425304174;0,087;-0,0737226443101977;0,087;-4,22399637351848
0,09;0,408670649747364;0,09;-0,0749132566437848;0,09;-4,29221343526925
0,093;0,451046077883802;0,093;-0,0860256384239314;0,093;-4,92890601160972
0,096;0,446001384058036;0,096;-0,0847027358310568;0,096;-4,85310927633109
0,099;0,477782955160364;0,099;-0,0930370221661668;0,099;-5,33062870858644
0,102;0,481314240838401;0,102;-0,093963053981179;0,102;-5,38368642328148
0,105;0,487872342811897;0,105;-0,095682827351916;0,105;-5,4822221791437
0,108;0,495943852933124;0,108;-0,0977994715005153;0,108;-5,6034969555895
0,111;0,524194138357416;0,111;-0,105207726020613;0,111;-6,02795867314982
0,114;0,50855558749754;0,114;-0,101106727982702;0,114;-5,79298879378607
0,117;0,50401536305435;0,117;-0,0999161156491147;0,117;-5,72477173203531
0,12;0,516627097618766;0,12;-0,103223372131301;0,12;-5,91426357023188
