Temps;EA4;Temps;theta;Temps;thetadeg;Temps;thetalissage
0;-0,393420930020511;0;0,135424390643777;0;7,75924602701937;0;7,75924602701937
0,009;-0,313130992464721;0,009;0,114369442565108;0,009;6,55288636424456;0,009;6,5756638808905
0,018;-0,240368236554787;0,018;0,0952883958688143;0,018;5,45962291985489;0,018;5,37364111398784
0,027;-0,15506017790176;0,027;0,0729175135352287;0,027;4,17786577815666;0,027;4,12021158645435
0,036;-0,0647339981514961;0,036;0,0492306969467262;0,036;2,820711157535;0,036;2,8090870391324
0,045;0,0155559394042939;0,045;0,0281757488680573;0,045;1,61435149476019;0,045;1,42578402285731
0,054;0,113409300800413;0,054;0,00251503089717966;0,054;0,144100655753396;0,054;-0,0410891587338772
0,063;0,241371388779953;0,063;-0,0310412926031988;0,063;-1,77853505679395;0,063;-1,56538163654019
0,072;0,324170386884362;0,072;-0,0527542078093261;0,072;-3,02259345903047;0,072;-3,07759503135068
0,081;0,427041869377717;0,081;-0,0797308600351206;0,081;-4,5682417769607;0,081;-4,5682417769607
0,09;0,477223080350086;0,09;-0,0928902025842886;0,09;-5,32221656619495;0,09;-5,50978428517571
0,099;0,565040199551731;0,099;-0,115919052045333;0,099;-6,64167244735489;0,099;-6,66947231797769
0,108;0,642821076558903;0,108;-0,136316032996543;0,108;-7,81033337066799;0,108;-7,92445427155133
0,117;0,74318349850364;0,117;-0,162634718094879;0,117;-9,3182829491365;0,117;-9,21271744185604
0,126;0,820964375510812;0,126;-0,18303169904609;0,126;-10,4869438724496;0,126;-10,4990155767502
0,135;0,906272434163839;0,135;-0,205402581379675;0,135;-11,7687010141478;0,135;-11,7621947591079
0,144;0,996598613914102;0,144;-0,229089397968178;0,144;-13,1258556347695;0,144;-12,9709255847501
0,153;1,06936136982404;0,153;-0,248170444664471;0,153;-14,2191190791592;0,153;-14,0548213988196
0,162;1,11452445969917;0,162;-0,260013852958723;0,162;-14,89769638947;0,162;-14,89769638947
0,171;1,21739594219252;0,171;-0,286990505184517;0,171;-16,4433447074002;0,171;-16,3546999841474
0,18;1,31274024304003;0,18;-0,311993256027936;0,18;-17,8758968069453;0,18;-17,5968012189284
