f;B;Ve{2};Vs{2}
32764,1;8,01960784313725;0,204;1,636
32764,2;6,01960784313725;0,204;1,228
32764,3;4,3921568627451;0,204;0,896
32764,4;3,39705882352941;0,204;0,693
32764,5;2,70243902439024;0,205;0,554
32764,6;2,2390243902439;0,205;0,459
32764,7;1,99004975124378;0,201;0,4
32764,8;1,69154228855721;0,201;0,34
32764,9;1,525;0,2;0,305
32763,9;6,54228855721393;0,201;1,315
32763,8;4,71287128712871;0,202;0,952
32763,7;3,62189054726368;0,201;0,728
32763,6;2,89108910891089;0,202;0,584
32763,5;2,39705882352941;0,204;0,489
32763,4;2,08955223880597;0,201;0,42
32763,3;1,81592039800995;0,201;0,365
32763,2;1,59203980099502;0,201;0,32
