 ,Area,Mean,Min,Max,Angle,Length,
1,"0,004","94,094","83,982","114,667","86,987","0,396","66,2690523525514"
2,"0,004","94,563","46,883","112,667","-81,469","0,421",
3,"0,005","92,226","75,667",211,"95,194","0,46",
4,"0,005","97,919","78,574",175,"116,565","0,442",
5,"0,004","90,319","71,823","147,333","142,253","0,408",
6,"0,005","94,709","78,762","141,758","133,091","0,442",
7,"0,005","99,655","78,093","161,333","162,897","0,425",
8,"0,004","89,157","77,943",129,"59,534","0,411",
9,"0,005","84,843","69,552","123,333","127,875","0,475",
10,"0,005","88,404","48,855","171,667","-39,094","0,429",
11,"0,005","80,468","50,842","126,667","29,578","0,443",
12,"0,004","94,597","63,586","217,333","-42,955","0,413",
13,"0,005","97,122","48,721","155,333","-7,943","0,452",
14,"0,005","96,959","45,233","147,667","-33,69","0,488",
15,"0,005","88,107","76,228","123,667","-74,249","0,422",
16,"0,004","84,851","67,333","92,224","-21,251","0,402",
,,,,,,"0,4330625","28,6986414844268"
,,,,,,"0,0262360280276315","1,73863671488612"
